DRAW 0.035090 -0.873199 1.000000
DRAW 0.042401 -0.865888 1.000000
DRAW 0.049711 -0.858578 1.000000
DRAW 0.057021 -0.851268 1.000000
MOVE 0.057021 -0.851268 1.300000
MOVE 0.060912 -0.861519 1.300000
MOVE 0.060912 -0.861519 1.000000
DRAW 0.060912 -0.861519 1.000000
DRAW 0.051417 -0.871014 1.000000
DRAW 0.041922 -0.880509 1.000000
MOVE 0.041922 -0.880509 1.300000
MOVE 0.053010 -0.883564 1.300000
MOVE 0.053010 -0.883564 1.000000
DRAW 0.053010 -0.883564 1.000000
DRAW 0.064804 -0.871770 1.000000
MOVE 0.064804 -0.871770 1.300000
MOVE 0.067105 -0.883610 1.300000
MOVE 0.067105 -0.883610 1.000000
DRAW 0.067105 -0.883610 1.000000
DRAW 0.067027 -0.883688 1.000000
MOVE 0.067027 -0.883688 1.300000
MOVE 0.030784 -0.849221 1.300000
MOVE 0.030784 -0.849221 1.000000
DRAW 0.030784 -0.849221 1.000000
DRAW 0.023221 -0.856783 1.000000
DRAW 0.015659 -0.864346 1.000000
DRAW 0.008097 -0.871908 1.000000
DRAW 0.000534 -0.879471 1.000000
DRAW -0.007028 -0.887033 1.000000
DRAW -0.014591 -0.894595 1.000000
DRAW -0.022153 -0.902158 1.000000
DRAW -0.029715 -0.909720 1.000000
DRAW -0.037278 -0.917282 1.000000
MOVE -0.037278 -0.917282 1.300000
MOVE -0.041081 -0.906944 1.300000
MOVE -0.041081 -0.906944 1.000000
DRAW -0.041081 -0.906944 1.000000
DRAW -0.033050 -0.898913 1.000000
DRAW -0.025020 -0.890882 1.000000
DRAW -0.016989 -0.882852 1.000000
